folder,domain_id,value,display_name,description
,how_often,0,Not during the past month,
,how_often,1,Less than once a week,
,how_often,2,Once or twice a week,
,how_often,3,Three or more times a week,
,good_bad,0,Very good,
,good_bad,1,Fairly good,
,good_bad,2,Fairly bad,
,good_bad,3,Very bad,
,good_poor,5,Very poor,
,good_poor,4,Poor,
,good_poor,3,Fair,
,good_poor,2,Good,
,good_poor,1,Very good,
,good_poor,-99,unanswered,
,promis_re,5,Not at all,
,promis_re,4,A little bit,
,promis_re,3,Somewhat,
,promis_re,2,Quite a bit,
,promis_re,1,Very much,
,promis_re,-99,unanswered,
,promis,1,Not at all,
,promis,2,A little bit,
,promis,3,Somewhat,
,promis,4,Quite a bit,
,promis,5,Very much,
,promis,-99,unanswered,
,group,0,HV,
,group,1,PI-ME/CFS,
,sex,1,female,
,sex,0,male,
,race,0,white,
,race,1,asian,
,race,2,multiracial,
,ethnicity,0,Non hispanic,
,ethnicity,1,hispanic,
,marry,0,single,
,marry,1,marred,
,marry,2,divorced,
,education,0,less than hs,
,education,1,hs,
,education,2,some college,
,education,3,college grad,
,education,4,adv degree,
,disability,0,Not disabled,
,disability,1,school disability,
,disability,2,work disability,
,disability,3,unemployed,
,disability,4,part time,
,disability,5,retired,
,criteria,0,does not meet criteria,
,criteria,1,meets criteria,
,smoke,0,non smoker,
,smoke,1,smoker,
,drug,0,does not use marijuana,
,drug,1,uses marijuana,
,visit,1,Study Visit,
