folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Administrative,participantid,subject identifier,,identifier,,,,,TRUE,
Administrative,visit,Study Visit,,choices,,visit,,,TRUE,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,hip_valid_days,The number of valid days of wear in the assessment period defined as a any day with >10hrs/day wear time from the waist-worn device,,integer,days,,,,,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,hip_wear_time,The mean number of minutes of scored wear time per valid day from the waist-worn device,,numeric,minutes (min),,,,,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,hip_nonwear_time,The mean number of minutes of scored non-wear time per valid day from the waist-worn device,,numeric,minutes (min),,,,,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,hip_total_3d_counts,The mean of the total (sum) vertical (Y-axis) activity counts per valid day from the waist-worn device,,numeric,,,,,,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,hip_total_vertical_counts,The mean of the total (sum) triaxial/vector magnitude activity counts per valid day from the waist-worn device,,numeric,,,,,,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,hip_total_steps,The mean of the total steps per valid day from the waist-worn device,,numeric,,,,,,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,hip_weartime_sedentary_time,The mean number of sedentary minutes per valid day defined as the number of minutes with a count value > 100 counts per minute from the waist-worn device,,numeric,minutes (min),,,,,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,hip_light_time,The mean number of light intensity minutes per valid day defined as the number of minutes with a count value > 100 and < 2020 counts per minute from the waist-worn device,,numeric,minutes (min),,,,,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,hip_moderate_time,The mean number of moderate intensity minutes per valid day defined as the number of minutes with a count value > 2020 and < 5999 counts per minute from the waist-worn device,,numeric,minutes (min),,,,,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,hip_vigorous_time,The mean number of vigorous intensity minutes per valid day defined as the number of minutes with a count value > 5999 counts per minute from the waist-worn device,,numeric,minutes (min),,,,,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,hip_avg_daily_mets,The mean metabolic equivalents of task (METs) for all valid days from the waist-worn device,,numeric,,,,,,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,hip_avg_wear_time_mets,The mean metabolic equivalents of task (METs) for all valid days normalized to average wear time per valid day from the waist-worn device,,numeric,,,,,,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,wrist_valid_days,The number of valid days of wear in the assessment period defined as a any day with >10hrs/day wear time from the wrist-worn device,,integer,days,,,,,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,wrist_wear_time,The mean number of minutes of scored wear time per valid day from the wrist-worn device,,numeric,minutes (min),,,,,
