folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Administrative,group,Group,,choices,,group,,,,
Administrative,mecfsid,MECFS ID,,identifier,,,,,TRUE,
Administrative,nsrrid,NSRR subject identifier,The National Sleep Research Resource (NSRR) subject identifier links the subject's data and files.,identifier,,,,,TRUE,
Administrative,participantid,subject identifier,,identifier,,,,,TRUE,
Administrative,visit,Study Visit,,choices,,visit,,,TRUE,
Anthropometry,bmi,Body mass index (BMI),,numeric,kilograms per meter squared (kg/m2),,,,,
Harmonized/Anthropometry,nsrr_bmi,Body mass index (BMI),"Harmonized by the NSRR team to align with <a href=""https://github.com/UW-GAC/topmed-dcc-harmonized-phenotypes"" target=""_blank"">TOPMed</a> and <a href=""https://github.com/uc-cdis/gtex-dictionary/tree/master/gdcdictionary/schemas/"" target=""_blank"">BioDataCatalyst standards</a>. Source: :bmi:",numeric,kilograms per meter squared (kg/m2),,bmi,,TRUE,
Harmonized/Lifestyle and Behavioral Health,nsrr_ever_smoker,Ever smoked cigarettes,"Indicates whether subject ever regularly smoked cigarettes. <br><br>Harmonized by the NSRR team to align with <a href=\""https://github.com/UW-GAC/topmed-dcc-harmonized-phenotypes\"" target=\""_blank\"">TOPMed</a> and <a href=\""https://github.com/uc-cdis/gtex-dictionary/tree/master/gdcdictionary/schemas/\"" target=\""_blank\"">BioDataCatalyst standards</a>. Source: :smoking:",choices,,nsrr_smoke,smoking,,TRUE,
Harmonized/Sociodemographics,nsrr_age,Subject age,"Harmonized by the NSRR team to align with <a href=""https://github.com/UW-GAC/topmed-dcc-harmonized-phenotypes"" target=""_blank"">TOPMed</a> and <a href=""https://github.com/uc-cdis/gtex-dictionary/tree/master/gdcdictionary/schemas/"" target=""_blank"">BioDataCatalyst standards</a>. Source: :age_at_evaluation:",numeric,years,,age,,TRUE,
Harmonized/Sociodemographics,nsrr_ethnicity,Subject ethnicity,"Harmonized by the NSRR team to align with <a href=""https://github.com/UW-GAC/topmed-dcc-harmonized-phenotypes"" target=""_blank"">TOPMed</a> and <a href=""https://github.com/uc-cdis/gtex-dictionary/tree/master/gdcdictionary/schemas/"" target=""_blank"">BioDataCatalyst standards</a>. Source: :ethnic_group:",choices,,nsrr_ethnicity,ethnicity,,TRUE,
Harmonized/Sociodemographics,nsrr_race,Subject race,"Harmonized by the NSRR team to align with <a href=""https://github.com/UW-GAC/topmed-dcc-harmonized-phenotypes"" target=""_blank"">TOPMed</a> and <a href=""https://github.com/uc-cdis/gtex-dictionary/tree/master/gdcdictionary/schemas/"" target=""_blank"">BioDataCatalyst standards</a>. Source: :race:",choices,,nsrr_race,race,,TRUE,
Harmonized/Sociodemographics,nsrr_sex,Subject sex,"Harmonized by the NSRR team to align with <a href=""https://github.com/UW-GAC/topmed-dcc-harmonized-phenotypes"" target=""_blank"">TOPMed</a> and <a href=""https://github.com/uc-cdis/gtex-dictionary/tree/master/gdcdictionary/schemas/"" target=""_blank"">BioDataCatalyst standards</a>. Source: :birth_sex:",choices,,nsrr_sex,annotated_sex,,TRUE,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,hip_avg_daily_mets,The mean metabolic equivalents of task (METs) for all valid days from the waist-worn device,,numeric,,,,,,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,hip_avg_wear_time_mets,The mean metabolic equivalents of task (METs) for all valid days normalized to average wear time per valid day from the waist-worn device,,numeric,,,,,,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,hip_light_time,The mean number of light intensity minutes per valid day defined as the number of minutes with a count value > 100 and < 2020 counts per minute from the waist-worn device,,numeric,minutes (min),,,,,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,hip_moderate_time,The mean number of moderate intensity minutes per valid day defined as the number of minutes with a count value > 2020 and < 5999 counts per minute from the waist-worn device,,numeric,minutes (min),,,,,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,hip_nonwear_time,The mean number of minutes of scored non-wear time per valid day from the waist-worn device,,numeric,minutes (min),,,,,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,hip_total_3d_counts,The mean of the total (sum) vertical (Y-axis) activity counts per valid day from the waist-worn device,,numeric,,,,,,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,hip_total_steps,The mean of the total steps per valid day from the waist-worn device,,numeric,,,,,,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,hip_total_vertical_counts,The mean of the total (sum) triaxial/vector magnitude activity counts per valid day from the waist-worn device,,numeric,,,,,,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,hip_valid_days,The number of valid days of wear in the assessment period defined as a any day with >10hrs/day wear time from the waist-worn device,,integer,days,,,,,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,hip_vigorous_time,The mean number of vigorous intensity minutes per valid day defined as the number of minutes with a count value > 5999 counts per minute from the waist-worn device,,numeric,minutes (min),,,,,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,hip_wear_time,The mean number of minutes of scored wear time per valid day from the waist-worn device,,numeric,minutes (min),,,,,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,hip_weartime_sedentary_time,The mean number of sedentary minutes per valid day defined as the number of minutes with a count value > 100 counts per minute from the waist-worn device,,numeric,minutes (min),,,,,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,wrist_nonwear_time,The mean number of minutes of scored non-wear time per valid day from the wrist-worn device,,numeric,minutes (min),,,,,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,wrist_total_3d_counts,The mean of the total (sum) triaxial/vector magnitude activity counts per valid day from the wrist-worn device,,numeric,,,,,,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,wrist_valid_days,The number of valid days of wear in the assessment period defined as a any day with >10hrs/day wear time from the wrist-worn device,,integer,days,,,,,
Lifestyle and Behavioral Health/Physical Activity/Device-Based,wrist_wear_time,The mean number of minutes of scored wear time per valid day from the wrist-worn device,,numeric,minutes (min),,,,,
Lifestyle and Behavioral Health,mj_use,Marijuana use,,choices,,drug,,,,
Lifestyle and Behavioral Health,smoking,Smoking,,choices,,smoke,,,,
Medical History,approximate_type_of_infection,Approximate Type of Infection,,text,,,,,,
Medical History,canadian_criteria,Canadian Criteria,,choices,,criteria,,,,
Medical History,elapsed_time_since_infection,Elapsed Time since infection in months,,numeric,months,,,,,
Medical History,fukuda_criteria,Fukuda Criteria,,choices,,criteria,,,,
Medical History,iom_criteria,IOM Criteria,,choices,,criteria,,,,
Physiologic Measurements/Physical Exam,lymphadenopathy,Lymphadenopathy,Swollen lymph nodes,integer,,,,,,
Physiologic Measurements/Physical Exam,tender_points,Tender Points,tender points,integer,,,,,,
Physiologic Measurements/Physical Exam,beighton_score,Beighton Score,hyperflexible areas,integer,,,,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),bad_dreams,Pittsburgh Sleep Quality Index: Have bad dreams during sleep last month,Item from Pittsburgh Sleep Quality Index. [Buysse et. al 1989 (PubMed ID: 2748771)](https://www.ncbi.nlm.nih.gov/pubmed/2748771/)<br><br>External semantic reference: [CDE](https://cde.nlm.nih.gov/deView?tinyId=QkB2ls75jrR)<br><br> [Search for all PSQI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=psqi),choices,,how_often,psqi_13dream;psqi;nightmare,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),bathroom_night,Pittsburgh Sleep Quality Index: Have to get up to use the bathroom the past month,Item from Pittsburgh Sleep Quality Index. [Buysse et. al 1989 (PubMed ID: 2748771)](https://www.ncbi.nlm.nih.gov/pubmed/2748771/)<br><br>External semantic reference: [CDE](https://cde.nlm.nih.gov/deView?tinyId=XJhhljX9oSA)<br><br> [Search for all PSQI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=psqi),choices,,how_often,psqi_08bathroom;psqi;sleep_efficiency,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),bed_hrs,Pittsburgh Sleep Quality Index: Hours in bed the past month,Item from Pittsburgh Sleep Quality Index. [Buysse et. al 1989 (PubMed ID: 2748771)](https://www.ncbi.nlm.nih.gov/pubmed/2748771/)<br><br>External semantic reference: [CDE](https://cde.nlm.nih.gov/deView?tinyId=XkzBvAup68)<br><br> [Search for all PSQI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=psqi),text,,,psqi_05timeinbed;psqi;sleep_duration;sleep_efficiency;SleepHealth_duration,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),cbcl_trouble_getting_to_sleep,Pittsburgh Sleep Quality Index: Cannot get to sleep within 30 minutes the past month,Item from Pittsburgh Sleep Quality Index. [Buysse et. al 1989 (PubMed ID: 2748771)](https://www.ncbi.nlm.nih.gov/pubmed/2748771/)<br><br>External semantic reference: [CDE](https://cde.nlm.nih.gov/deView?tinyId=myj2goX5or0)<br><br> [Search for all PSQI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=psqi),choices,,how_often,psqi_06slphalfhr;psqi;insomnia;sleep_latency,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),conners_problems_with_sleep,Pittsburgh Sleep Quality Index: Wake in the middle or night or early morning the past month,Item from Pittsburgh Sleep Quality Index. [Buysse et. al 1989 (PubMed ID: 2748771)](https://www.ncbi.nlm.nih.gov/pubmed/2748771/)<br><br>External semantic reference: [CDE](https://cde.nlm.nih.gov/deView?tinyId=QJp3gomcsHC)<br><br> [Search for all PSQI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=psqi),choices,,how_often,psqi_07wakeearly;psqi;insomnia;SleepHealth_insomnia,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),current_bedtime,Pittsburgh Sleep Quality Index: When usually gone to bed the past month,Item from Pittsburgh Sleep Quality Index. [Buysse et. al 1989 (PubMed ID: 2748771)](https://www.ncbi.nlm.nih.gov/pubmed/2748771/)<br><br>External semantic reference: [CDE](https://cde.nlm.nih.gov/deView?tinyId=my3jgPQcjHC)<br><br> [Search for all PSQI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=psqi),text,,,psqi_01gonetobed;psqi;sleep_timing;SleepHealth_timing,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),current_wake_time,Pittsburgh Sleep Quality Index: What time gotten up in the morning the past month,Item from Pittsburgh Sleep Quality Index. [Buysse et. al 1989 (PubMed ID: 2748771)](https://www.ncbi.nlm.nih.gov/pubmed/2748771/)<br><br>External semantic reference: [CDE](https://cde.nlm.nih.gov/deView?tinyId=XJ_rvRup6U)<br><br> [Search for all PSQI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=psqi),text,,,psqi_03morning;psqi;sleep_timing;SleepHealth_timing,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),feel_cold,Pittsburgh Sleep Quality Index: Feel too cold during sleep the past month,Item from Pittsburgh Sleep Quality Index. [Buysse et. al 1989 (PubMed ID: 2748771)](https://www.ncbi.nlm.nih.gov/pubmed/2748771/)<br><br>External semantic reference: [CDE](https://cde.nlm.nih.gov/deView?tinyId=QyvhxoQ9orC)<br><br> [Search for all PSQI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=psqi),choices,,how_often,psqi_11cold;psqi;insomnia,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),feel_hot,Pittsburgh Sleep Quality Index: Feel too hot during sleep the past month,Item from Pittsburgh Sleep Quality Index. [Buysse et. al 1989 (PubMed ID: 2748771)](https://www.ncbi.nlm.nih.gov/pubmed/2748771/)<br><br>External semantic reference: [CDE](https://cde.nlm.nih.gov/deView?tinyId=m1O3lsQ9jBA)<br><br> [Search for all PSQI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=psqi),choices,,how_often,psqi_12hot;psqi;insomnia,,,
Sleep Questionnaires/General and Sleep Disorder Screening/Pittsburgh Sleep Quality Index (PSQI),mos_sleep_hrs,Pittsburgh Sleep Quality Index: Hours of actual sleep at night the past month,Item from Pittsburgh Sleep Quality Index. [Buysse et. al 1989 (PubMed ID: 2748771)](https://www.ncbi.nlm.nih.gov/pubmed/2748771/)<br><br>External semantic reference: [CDE](https://cde.nlm.nih.gov/deView?tinyId=m1mQgx45sHC)<br><br> [Search for all PSQI variables within this dataset](https://sleepdata.org/datasets/mecfs/variables?search=psqi),text,,,psqi_04actualslp;psqi;sleep_duration;sleep_efficiency;SleepHealth_efficiency,,,
